"13929: Energiforbruk i husholdninger og fritidshus, etter statistikkvariabel og år"

"statistikkvariabel";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Energibruk i alt til bolig- og transportformål (GWh)";60491;62936;63033;61885;62233;63212;64634;65393;65197;67004;72297;66114;68947;67907;64595;66626;68022;68078;67512;65352;65879;68768;63355;64840
"Forbruk av energi i boliger og fritidsboliger, i alt (GWh)";44081;45761;45768;43971;43529;44230;44600;45190;44841;46417;51493;45731;48499;47646;44275;46246;47338;48137;48075;46886;47292;49857;44717;47065
"Elektrisitet i boliger, unntatt lading av elbiler (GWh)";33602;34748;33474;30840;31244;32770;32327;33539;33365;34676;37800;34239;36318;36761;34865;36452;37565;37780;37987;37623;37678;39011;34030;36418
"Elektrisitet i fritidsboliger (GWh)";1026;1128;1173;1183;1161;1235;1317;1407;1522;1635;1931;1818;1929;2141;2006;2118;2278;2350;2417;2384;2467;2819;2318;2427
"Kull og koks (GWh)";29;19;33;24;22;10;8;6;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Fyringsolje og tungdestillat (GWh)";1309;1606;1853;2536;1895;1311;1891;1501;1306;1317;1561;970;1187;1044;777;725;807;656;421;105;2;1;.;.
"Fyringsparafin (GWh)";1182;921;890;1030;1249;1030;1008;795;576;537;635;473;393;378;226;187;174;124;112;10;.;.;.;.
"Flytende petroleumsgass (LPG), tungolje (GWh)";80;85;111;135;150;-7;-2;10;10;13;75;38;24;52;56;35;66;47;45;38;34;37;50;79
"Ved og pellets i boliger (GWh)";6614;6905;7878;7826;7357;7395;6629;6272;6164;6358;7181;6378;6957;5144;4402;4473;4094;4707;4417;3990;4177;4986;5263;4805
"Ved i fritidsboliger (GWh)";.;.;.;.;.;.;880;1050;1140;1090;1180;990;700;1000;900;1180;1100;1070;1230;1170;1450;1270;1390;1390
"Naturgass (GWh)";1;24;23;23;33;60;39;41;36;40;46;38;41;43;44;39;42;37;37;18;18;18;14;21
"Fjernvarme (GWh)";238;326;333;375;417;427;502;568;718;751;1084;788;950;1083;1000;1037;1212;1365;1408;1548;1467;1716;1652;1925
"Forbruk av energi i personbiler og fritidsbåter, i alt (GWh)";16410;17175;17265;17914;18704;18981;20035;20203;20356;20587;20804;20383;20449;20261;20320;20380;20684;19941;19437;18467;18587;18911;18638;17775
"Elektrisitet til personbiler, ladet hjemme (GWh)";.;.;.;.;.;1;2;2;2;2;2;4;10;16;46;120;202;309;470;633;791;1100;1433;1746
"Flytende petroleumsgass (LPG) til personbiler (GWh)";.;.;8;19;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
"Bensin (ekskl. bio) til personbiler (GWh)";14835;15490;15405;15363;15471;15068;15450;14692;13923;13194;12406;11331;10632;9817;9302;8730;8156;7829;7439;6852;7004;6492;6445;5360
"Autodiesel (ekskl. bio) til personbiler (GWh)";1272;1373;1530;2199;2865;3530;4183;5029;5770;6637;7508;8128;8795;9410;9958;10451;10391;9133;9413;8475;8513;9020;8763;8248
"Biodrivstoff til personbiler og fritidsbåter (GWh)";.;.;.;.;3;6;14;84;253;336;455;487;581;587;585;653;1509;2245;1691;2084;1859;1880;1679;2125
"Anleggsdiesel (ekskl. bio) til fritidsbåter (GWh)";303;313;323;333;343;353;364;374;385;396;409;410;409;407;406;405;404;402;401;400;398;397;296;274
"Folkemengde per 1. januar";4478497;4503436;4524066;4552252;4577457;4606363;4640219;4681134;4737171;4799252;4858199;4920305;4985870;5051275;5109056;5165802;5213985;5258317;5295619;5328212;5367580;5391369;5425270;5488984
"Antall husholdninger per 1. januar";1941441;1961548;1981863;2002389;2023128;2010999;2036890;2064841;2104531;2142638;2170893;2201787;2226046;2258794;2286445;2316647;2348797;2376971;2409257;2439242;2475168;2512317;2545902;2581721
"Forbruk av energi i boliger og fritidsboliger, per husholdning (kWh)";22705;23329;23093;21959;21516;21995;21897;21886;21308;21665;23721;20772;21791;21101;19385;20014;20240;20381;20149;19481;19426;20283;18127;18906
"Forbruk av elektrisitet i boliger og fritidsboliger, per husholdning (kWh)";17836;18290;17482;15992;16017;16910;16518;16925;16578;16948;18303;16378;17186;17230;16146;16701;17049;17013;16965;16661;16538;17088;14840;15722
"Forbruk av energi i boliger og fritidsboliger, per person (kWh)";9843;10161;10117;9659;9509;9602;9612;9654;9466;9672;10600;9295;9729;9436;8675;8976;9118;9213;9167;8918;8958;9452;8507;8892
"Forbruk av elektrisitet i boliger og fritidsboliger, per person (kWh)";7732;7966;7658;7035;7079;7382;7251;7466;7365;7566;8179;7329;7673;7705;7226;7490;7680;7690;7718;7627;7626;7963;6964;7395
"Energibruk i alt, per person (kWh)";13507;13975;13933;13594;13596;13723;13929;13969;13763;13961;14881;13437;13829;13443;12643;12898;13046;12947;12749;12265;12274;12755;11678;11813
"Andelen elektrisitet i boliger og fritidsboliger (prosent)";78.6;78.4;75.7;72.8;74.4;76.9;75.4;77.3;77.8;78.2;77.2;78.8;78.9;81.7;83.3;83.4;84.2;83.5;84.2;85.5;85.1;84.2;81.9;83.2
