"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Utslipp til luft (dioksin i mg, PAH i kg og svevestøv i tonn)",Alle næringer og husholdninger,Svevestøv - TSP,112672,115234,111839,104505,105424,106044,113390,112788,104721,97673,102291,107986,108182,102694,97609,109440,92911,97360,101998,101246,97268,94770,101346,97746
,,Svevestøv - PM10,82858,85808,82470,75448,76199,75419,82389,79086,71358,65520,70381,74698,74732,69308,64359,75987,60771,64758,69205,68546,66363,64032,69839,67675
,,"Svevestøv - PM2,5",61642,64453,61442,55100,56124,54870,61225,56905,49786,45137,49521,53047,53124,48245,43730,54594,41483,45256,49028,48520,47359,45305,50504,49070
,,PAH-4,15357,16474,18127,14117,16047,17765,13369,11016,11924,7673,7255,7718,6869,7250,6880,7100,6105,6281,6949,7034,5275,5024,5045,4156
,,Dioksin,52115,55083,50440,44376,48764,39378,49015,43636,34068,31691,36795,40644,39494,39203,34119,41321,33914,36283,40440,40058,40120,39085,40668,40087
,Husholdninger,Svevestøv - TSP,47210,47555,50233,48365,44823,45813,45368,45600,44917,44229,46866,43733,43720,38660,36123,36867,33736,33713,34156,31775,32092,32741,33900,32783
,,Svevestøv - PM10,35413,35797,38400,36710,33334,33957,33344,33005,32392,32012,34436,31174,31396,26538,24118,24725,22812,23000,22938,20896,21762,22251,23430,22263
,,"Svevestøv - PM2,5",26364,26807,29217,27829,24883,25350,24776,24178,23706,23556,25616,22472,22925,18503,16290,16772,15952,16330,15923,14239,15390,15802,16910,15808
,,PAH-4,3568,3528,3736,3403,2886,3067,3183,3071,2987,2907,3181,2805,2819,2393,2225,2210,2193,2172,2125,1917,2040,1980,2130,1992
,,Dioksin,13404,13616,14460,13704,11867,12263,12140,11541,11317,11136,13076,10764,11219,9319,8091,7841,8805,9155,9201,8222,8617,8595,9192,8721
,Alle næringer,Svevestøv - TSP,65462,67679,61606,56140,60601,60231,68022,67189,59804,53444,55424,64253,64462,64034,61487,72573,59175,63647,67843,69471,65176,62029,67446,64963
,,Svevestøv - PM10,47445,50012,44069,38738,42865,41462,49045,46081,38966,33508,35945,43525,43336,42770,40241,51262,37959,41759,46267,47650,44601,41781,46409,45412
,,"Svevestøv - PM2,5",35278,37646,32225,27271,31241,29520,36449,32727,26080,21581,23906,30575,30199,29743,27440,37822,25531,28927,33105,34281,31969,29504,33594,33263
,,PAH-4,11789,12946,14391,10715,13161,14698,10185,7944,8937,4765,4074,4913,4049,4857,4656,4890,3912,4110,4824,5117,3235,3044,2914,2164
,,Dioksin,38711,41467,35980,30673,36898,27116,36875,32095,22751,20555,23719,29880,28274,29884,26028,33480,25109,27128,31240,31836,31503,30490,31476,31367
,"Jordbruk, jakt og viltstell",Svevestøv - TSP,4251,4064,3829,3766,3869,3758,3654,3659,3747,3673,3667,3540,3553,3576,3682,3640,3656,3616,3457,3573,3548,3569,3620,3459
,,Svevestøv - PM10,2722,2554,2311,2223,2292,2199,2092,2064,2090,1964,1948,1847,1846,1830,1886,1871,1875,1847,1707,1809,1805,1792,1836,1710
,,"Svevestøv - PM2,5",1541,1388,1157,1070,1116,1037,941,901,903,780,772,693,690,658,698,711,706,692,582,674,671,639,666,554
,,PAH-4,391,312,235,200,223,189,160,152,159,112,115,89,94,84,105,114,112,111,67,111,112,97,113,70
,,Dioksin,95,80,65,59,65,58,54,52,51,36,37,30,31,29,34,35,35,35,25,35,35,32,34,26
,Skogbruk,Svevestøv - TSP,32,32,31,28,24,24,27,30,27,25,42,38,44,38,26,23,22,21,20,17,17,23,19,15
,,Svevestøv - PM10,32,32,31,27,24,23,27,30,27,25,42,38,44,38,26,23,22,21,20,17,17,23,19,15
,,"Svevestøv - PM2,5",30,30,29,26,23,22,26,28,26,24,40,36,42,36,24,22,21,20,19,16,16,22,18,14
,,PAH-4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1
,,Dioksin,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1
,Fiske og fangst,Svevestøv - TSP,656,686,672,552,537,506,521,517,500,568,480,423,417,354,363,342,346,366,391,377,405,399,415,424
,,Svevestøv - PM10,656,686,672,552,535,506,521,516,499,568,480,423,417,354,363,342,346,366,391,377,405,399,415,424
,,"Svevestøv - PM2,5",623,652,638,524,508,481,495,491,474,540,456,402,396,336,345,325,329,347,372,358,384,379,394,403
,,PAH-4,30,30,30,23,22,20,20,20,20,21,17,16,17,15,17,18,19,22,24,23,25,25,26,27
,,Dioksin,1308,1332,1321,1054,1003,919,940,923,900,992,822,739,761,684,748,769,810,906,986,954,1025,1011,1050,1073
,Akvakultur,Svevestøv - TSP,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,2,2,2,19,32,4,50
